Threads,Run,Time (ms)
1,0,694.0296
1,1,693.3642
1,2,689.239
1,3,695.816
1,4,690.5032
1,5,710.6674
1,6,702.3122
1,7,689.9044
1,8,710.4366
1,9,687.5281
1,10,697.2067
1,11,698.1759
1,12,694.4769
1,13,698.6184
1,14,699.883
1,15,692.5849
1,16,702.0861
1,17,706.2121
1,18,683.3304
1,19,698.0278
1,20,704.5061
1,21,698.6819
1,22,716.3905
1,23,700.8304
1,24,688.8531
1,25,677.3018
1,26,688.0143
1,27,684.5212
1,28,683.745
1,29,688.3927
1,30,685.9653
1,31,693.03
1,32,679.3417
1,33,687.3234
1,34,693.4881
1,35,697.152
1,36,678.5541
1,37,700.3376
1,38,694.5739
1,39,699.6599
1,40,698.1068
1,41,700.3432
1,42,697.9539
1,43,707.0713
1,44,687.8182
1,45,687.7462
1,46,696.1699
1,47,686.5416
1,48,682.5246
1,49,695.7383
1,50,695.9125
2,0,224.4947
2,1,223.7984
2,2,224.8823
2,3,232.5278
2,4,225.1313
2,5,223.8262
2,6,226.2007
2,7,234.0733
2,8,227.1085
2,9,235.0561
2,10,223.2872
2,11,223.5037
2,12,224.6141
2,13,230.8864
2,14,225.6439
2,15,223.7508
2,16,221.5412
2,17,232.2524
2,18,226.5011
2,19,226.8586
2,20,221.5008
2,21,223.8022
2,22,224.0053
2,23,223.719
2,24,222.6062
2,25,227.4735
2,26,225.0066
2,27,227.7249
2,28,224.5837
2,29,220.8172
2,30,224.4716
2,31,233.485
2,32,222.4591
2,33,222.9934
2,34,233.3977
2,35,228.5793
2,36,221.7826
2,37,227.4762
2,38,221.9263
2,39,229.3311
2,40,227.139
2,41,231.3206
2,42,226.7452
2,43,237.0994
2,44,227.5697
2,45,231.0858
2,46,227.0853
2,47,226.9926
2,48,223.7931
2,49,230.032
2,50,221.9617
4,0,222.6525
4,1,222.0205
4,2,225.6632
4,3,224.2147
4,4,225.6076
4,5,222.3544
4,6,227.9895
4,7,223.6107
4,8,226.0216
4,9,224.0248
4,10,226.8601
4,11,224.3434
4,12,225.1178
4,13,225.1993
4,14,232.114
4,15,235.0051
4,16,226.5657
4,17,221.6125
4,18,232.9753
4,19,224.8026
4,20,224.8557
4,21,224.8584
4,22,233.0299
4,23,226.3057
4,24,222.1902
4,25,224.5182
4,26,223.3352
4,27,223.416
4,28,230.7864
4,29,228.1895
4,30,231.378
4,31,226.6256
4,32,223.2284
4,33,222.7377
4,34,230.416
4,35,227.7479
4,36,226.715
4,37,226.2752
4,38,224.8001
4,39,239.6099
4,40,223.1306
4,41,220.7677
4,42,235.9465
4,43,221.567
4,44,226.4952
4,45,222.0857
4,46,226.7882
4,47,224.813
4,48,234.1634
4,49,225.8517
4,50,222.6048
8,0,220.2302
8,1,227.5862
8,2,219.8925
8,3,228.8461
8,4,225.1701
8,5,222.8503
8,6,221.0884
8,7,220.7971
8,8,221.9964
8,9,225.3621
8,10,233.0529
8,11,222.9553
8,12,226.7018
8,13,223.4457
8,14,229.0514
8,15,229.6082
8,16,221.5712
8,17,224.7984
8,18,226.9443
8,19,232.1246
8,20,221.3684
8,21,228.3086
8,22,223.1727
8,23,230.1069
8,24,222.51
8,25,227.0431
8,26,226.0641
8,27,226.1136
8,28,219.9566
8,29,226.7257
8,30,219.0581
8,31,226.7436
8,32,223.6515
8,33,226.7338
8,34,222.4007
8,35,235.0801
8,36,222.6316
8,37,227.002
8,38,222.1546
