Threads,Run,Time (ms)
1,0,614.8393
1,1,620.6812
1,2,615.7154
1,3,619.816
1,4,627.7845
1,5,638.0329
1,6,626.0152
1,7,632.5876
1,8,633.1835
1,9,634.3657
1,10,636.3697
1,11,632.3788
1,12,628.8577
1,13,617.0186
1,14,625.7546
1,15,623.227
1,16,624.9209
1,17,636.2007
1,18,633.9896
1,19,727.8245
1,20,622.6862
1,21,626.9612
1,22,630.3856
1,23,626.5338
1,24,622.3048
1,25,623.7693
1,26,639.085
1,27,632.5703
1,28,618.9702
1,29,626.0704
1,30,626.0141
1,31,620.0798
1,32,627.239
1,33,633.0365
1,34,623.8312
1,35,613.3987
1,36,625.4066
1,37,638.7119
1,38,628.7049
1,39,628.6329
1,40,620.9612
1,41,624.5138
1,42,621.9866
1,43,614.9367
1,44,622.2391
1,45,628.1498
1,46,618.5348
1,47,624.8712
1,48,620.319
1,49,621.4584
1,50,628.2627
2,0,204.3296
2,1,206.9522
2,2,204.2677
2,3,212.4692
2,4,203.889
2,5,203.3043
2,6,203.2645
2,7,207.1331
2,8,205.8581
2,9,209.8673
2,10,203.3951
2,11,207.7565
2,12,206.8161
2,13,206.6337
2,14,205.819
2,15,204.4034
2,16,202.7934
2,17,207.5452
2,18,204.6297
2,19,210.609
2,20,205.9273
2,21,216.0728
2,22,203.4679
2,23,209.7592
2,24,209.1629
2,25,205.802
2,26,202.8887
2,27,206.584
2,28,217.5425
2,29,217.2977
2,30,203.705
2,31,212.0342
2,32,207.3848
2,33,211.149
2,34,203.2283
2,35,208.5825
2,36,206.819
2,37,202.7926
2,38,204.5411
2,39,205.56
2,40,208.6419
2,41,206.9738
2,42,209.2508
2,43,213.4264
2,44,204.5681
2,45,218.8945
2,46,203.4725
2,47,208.0702
2,48,207.4182
2,49,203.9536
2,50,209.4563
4,0,212.9132
4,1,205.7959
4,2,205.3434
4,3,207.2396
4,4,215.1107
4,5,203.2022
4,6,213.885
4,7,210.2937
4,8,207.5497
4,9,204.3998
4,10,229.5751
4,11,202.3495
4,12,206.7283
4,13,207.4967
4,14,210.9891
4,15,202.6098
4,16,206.7368
4,17,204.4393
4,18,214.4897
4,19,205.3915
4,20,213.377
4,21,201.8925
4,22,204.9706
4,23,206.6201
4,24,210.3381
4,25,204.998
4,26,207.9089
4,27,205.1424
4,28,204.7122
4,29,203.34
4,30,208.7881
4,31,207.5339
4,32,209.2508
4,33,203.4719
4,34,209.9951
4,35,203.9362
4,36,210.8351
4,37,204.0301
4,38,209.3543
4,39,201.6487
4,40,208.7904
4,41,207.2669
4,42,204.6744
4,43,219.2233
4,44,208.112
4,45,204.055
4,46,214.9921
4,47,204.9943
4,48,206.3673
4,49,201.9116
4,50,205.05
8,0,202.649
8,1,208.1988
8,2,205.7197
8,3,211.9693
8,4,203.521
8,5,210.1264
8,6,211.2738
8,7,209.7556
8,8,203.4239
8,9,207.5129
8,10,202.2812
8,11,209.259
8,12,205.3963
8,13,204.6143
8,14,206.9595
8,15,205.1715
8,16,202.3494
8,17,219.751
8,18,206.4067
8,19,213.1373
8,20,207.4223
8,21,209.9718
8,22,206.8453
8,23,206.3415
8,24,206.8177
8,25,216.2592
8,26,203.673
8,27,212.1962
8,28,204.8398
8,29,208.0633
8,30,202.8253
8,31,210.0849
8,32,206.2823
8,33,215.1375
8,34,210.5058
8,35,214.7109
8,36,206.9409
8,37,206.1148
8,38,204.7282
8,39,208.1965
8,40,206.7891
8,41,222.4891
8,42,210.289
8,43,204.5054
8,44,206.9815
8,45,207.5008
8,46,202.4813
8,47,209.6903
8,48,207.58
8,49,208.3976
8,50,208.5551
12,0,203.3345
12,1,202.9201
12,2,213.2233
12,3,201.2577
12,4,205.5884
12,5,203.6106
12,6,210.5296
12,7,206.597
12,8,205.7441
12,9,206.2583
12,10,208.8391
12,11,204.4611
12,12,203.7558
12,13,203.7262
12,14,210.5074
12,15,206.1435
12,16,211.289
12,17,204.9157
12,18,209.7138
12,19,205.209
12,20,208.4334
12,21,205.2189
12,22,203.2096
12,23,204.9042
12,24,216.263
12,25,207.1888
12,26,208.085
12,27,208.5886
12,28,206.7141
12,29,206.6407
12,30,207.5469
12,31,206.5936
12,32,205.0981
12,33,205.5785
