Scene,Run,Time (ms)
1, 1, 7664.736
1, 2, 7582.0737
1, 3, 7498.074
1, 4, 7531.6897
1, 5, 7250.2179
1, 6, 7403.6562
1, 7, 7835.8182
1, 8, 7845.9
1, 9, 7538.982
1, 10, 7712.9243
1, 11, 8420.1144
1, 12, 8980.8734
1, 13, 9082.3908
1, 14, 10253.634
1, 15, 10424.9115
1, 16, 10357.4276
1, 17, 9968.2365
1, 18, 8777.7769
1, 19, 7781.6365
1, 20, 7804.2216
2, 1, 11814.4586
2, 2, 11391.6779
2, 3, 11880.6276
2, 4, 11079.6804
2, 5, 11053.676
2, 6, 11377.3856
2, 7, 11543.9267
2, 8, 10751.2551
2, 9, 10764.9465
2, 10, 10942.9126
2, 11, 11055.2828
2, 12, 11995.6303
2, 13, 11039.7967
2, 14, 11906.3713
2, 15, 12558.1217
2, 16, 13099.7203
2, 17, 13447.9529
2, 18, 12073.6236
2, 19, 12415.4267
2, 20, 14373.2567
3, 1, 23771.3285
3, 2, 22807.9443
3, 3, 18891.4218
3, 4, 18969.7542
3, 5, 20996.4373
3, 6, 20005.1465
3, 7, 19307.3251
3, 8, 17618.4727
3, 9, 17542.9185
3, 10, 18890.9821
3, 11, 18597.2112
3, 12, 17420.6533
3, 13, 17159.21
3, 14, 18738.8847
3, 15, 18704.1825
3, 16, 18007.7897
3, 17, 17404.0981
3, 18, 17651.3727
3, 19, 18839.989
3, 20, 18719.0314
4, 1, 30477.6404
4, 2, 30008.8664
4, 3, 32048.0172
4, 4, 32896.7297
4, 5, 32300.9086
4, 6, 29512.7981
4, 7, 29442.0233
4, 8, 32561.5135
4, 9, 32197.805
4, 10, 30187.8588
4, 11, 29345.1993
4, 12, 33771.5616
4, 13, 34370.1156
4, 14, 31536.1775
4, 15, 30034.855
4, 16, 30518.1483
4, 17, 41341.8707
4, 18, 41241.7225
4, 19, 40135.2468
4, 20, 40005.4565
5, 1, 75797.154
5, 2, 127038.5827
5, 3, 124077.0433
5, 4, 123644.2548
5, 5, 61294.9193
5, 6, 62205.4531
5, 7, 87635.9049
5, 8, 82026.8297
5, 9, 75303.9782
5, 10, 56752.1001
5, 11, 69359.2703
5, 12, 75096.3341
5, 13, 74458.3902
5, 14, 57932.3617
5, 15, 57723.5615
5, 16, 70078.3114
5, 17, 70236.4793
5, 18, 63921.7143
5, 19, 58062.2986
5, 20, 57547.6413
6, 1, 125568.3934
6, 2, 117730.6701
6, 3, 114914.7831
6, 4, 115485.8767
6, 5, 121765.8898
6, 6, 116295.7163
6, 7, 115379.3048
6, 8, 115195.694
6, 9, 118376.857
6, 10, 123241.211
6, 11, 118225.4654
6, 12, 112110.3756
6, 13, 111849.0908
6, 14, 124259.8581
6, 15, 117192.7785
6, 16, 112178.8652
6, 17, 110540.4414
6, 18, 115709.843
6, 19, 123160.4303
6, 20, 117980.4296
7, 1, 222876.8983
7, 2, 222076.3421
7, 3, 231203.7445
7, 4, 235369.1851
7, 5, 230628.7166
7, 6, 230620.8756
7, 7, 312967.2941
7, 8, 225607.779
7, 9, 221525.3194
7, 10, 226235.1882
7, 11, 354155.1864
7, 12, 227695.6826
7, 13, 230389.1158
7, 14, 251114.4217
7, 15, 359863.5412
7, 16, 222247.4049
7, 17, 222223.8821
7, 18, 333528.9322
7, 19, 228435.2723
7, 20, 224307.2645
8, 1, 451837.0564
8, 2, 641566.5381
8, 3, 704112.4765
8, 4, 462064.3858
8, 5, 456447.2159
8, 6, 467796.1686
8, 7, 455292.5506
8, 8, 459455.2868
8, 9, 476797.8487
8, 10, 461386.6785
8, 11, 464345.5771
8, 12, 453825.1167
8, 13, 457714.6799
8, 14, 462048.8033
8, 15, 469014.6125
8, 16, 477777.0645
8, 17, 459878.8505
8, 18, 459751.6856
8, 19, 458987.2612
8, 20, 457286.0975
