Threads,Run,Time (ms)
1,0,13318.5744
1,1,13685.2144
1,2,13438.8661
1,3,13628.3064
1,4,13088.7867
1,5,12808.1887
2,0,4025.2255
2,1,3938.211
2,2,3966.0877
2,3,4301.2757
2,4,3891.0194
2,5,3969.1209
4,0,3735.0768
4,1,3832.2587
4,2,3852.2514
4,3,3928.8924
4,4,3841.8297
4,5,3868.5613
8,0,5574.7268
8,1,5381.616
8,2,5744.9129
8,3,4321.6656
8,4,4061.3211
8,5,4258.1623
12,0,5885.0736
12,1,5684.7669
12,2,5530.5491
12,3,4224.9541
12,4,3984.0866
12,5,4665.4567
16,0,5816.3465
16,1,5938.6594
16,2,6146.096
16,3,4296.7126
16,4,4654.3561
16,5,4741.3494
20,0,6286.1217
20,1,6161.5546
20,2,6373.4437
20,3,4785.2544
20,4,4654.8137
20,5,5285.7555
32,0,6816.9074
32,1,6624.2073
32,2,5694.0589
32,3,5196.8305
32,4,5027.7789
32,5,4823.799
