Scene,Run,Time (ms)
1,1,1366.493
1,2,1290.1542
1,3,1408.3073
1,4,1298.5428
1,5,1295.7886
1,6,1325.1926
1,7,1292.5595
1,8,1297.1502
1,9,1276.803
1,10,1259.8086
1,11,1254.976
1,12,1257.3273
1,13,1272.1953
1,14,1322.6357
1,15,1279.6334
1,16,1291.6065
1,17,1257.8819
1,18,1258.5275
1,19,1261.8496
1,20,1277.8378
2,1,6354.6964
2,2,6846.41
2,3,7094.6017
2,4,6918.5622
2,5,6607.0087
2,6,6662.533
2,7,6494.6075
2,8,6992.5076
2,9,6982.4896
2,10,6574.8876
2,11,6412.154
2,12,6736.4797
2,13,8939.6891
2,14,9169.733
2,15,9140.5492
2,16,7112.4009
2,17,7609.9367
2,18,10365.8583
2,19,10593.5749
2,20,10363.1906
3,1,8709.2219
3,2,8902.6635
3,3,15206.1311
3,4,15252.4695
3,5,16201.0365
3,6,9126.2411
3,7,8560.2858
3,8,13501.8588
3,9,15178.9184
3,10,14752.6438
3,11,7439.214
3,12,8259.5724
3,13,8083.2251
3,14,11802.9732
3,15,10545.1228
3,16,7927.673
3,17,7221.5211
3,18,8280.9945
3,19,10200.3999
3,20,10060.2669
4,1,7744.7281
4,2,8519.0121
4,3,8703.7775
4,4,10443.8315
4,5,10186.1119
4,6,8429.2347
4,7,7921.8491
4,8,8887.4557
4,9,10482.736
4,10,10752.7792
4,11,8123.2379
4,12,8482.4889
4,13,8256.1561
4,14,10879.3086
4,15,10949.943
4,16,7915.8967
4,17,8545.7897
4,18,9001.2908
4,19,10686.4614
4,20,10865.2079
5,1,9009.8074
5,2,9233.8265
5,3,10011.0881
5,4,11615.7034
5,5,12129.7307
5,6,8748.4044
5,7,8861.2764
5,8,9719.5598
5,9,11657.2345
5,10,11923.2656
5,11,9445.6538
5,12,9303.5154
5,13,11102.4915
5,14,12802.0308
5,15,14167.6556
5,16,9113.4572
5,17,9216.9913
5,18,14001.2664
5,19,15464.7894
5,20,16273.5126
6,1,10649.2639
6,2,10372.496
6,3,14704.7821
6,4,18135.3394
6,5,18112.2149
6,6,10519.8209
6,7,10855.1974
6,8,15648.2173
6,9,17113.1004
6,10,15832.5065
6,11,10135.3402
6,12,10102.0468
6,13,12222.5538
6,14,11662.7818
6,15,11302.0109
6,16,9782.2111
6,17,9789.2831
6,18,11700.7483
6,19,11534.9997
6,20,10919.9095
7,1,11307.0764
7,2,11303.3976
7,3,12754.8972
7,4,13423.9358
7,5,11540.9548
7,6,11268.0721
7,7,12497.7198
7,8,12781.2061
7,9,13084.9384
7,10,11269.9978
7,11,11191.9827
7,12,12337.156
7,13,12821.6824
7,14,12992.1991
7,15,11139.9898
7,16,11248.3291
7,17,12872.111
7,18,12902.6032
7,19,12764.1486
7,20,12114.2231
8,1,12920.7305
8,2,14944.0208
8,3,14311.1253
8,4,14106.8905
8,5,12713.4059
8,6,12550.6294
8,7,14130.39
8,8,15549.5248
8,9,13788.9733
8,10,13215.0299
8,11,13282.6816
8,12,20682.7889
8,13,29868.7088
8,14,21953.3662
8,15,16405.7263
8,16,17112.5209
8,17,58069.386
8,18,61178.354
8,19,59326.6027
8,20,18032.703
9,1,19483.8286
9,2,56925.5721
9,3,34062.4373
9,4,15973.6209
9,5,14998.7209
9,6,15293.1252
9,7,15458.1289
9,8,14722.973
9,9,13664.178
9,10,13747.0555
9,11,14633.7785
9,12,15231.7078
9,13,14596.521
9,14,13973.3317
9,15,14689.9855
9,16,14992.2736
9,17,14914.8803
9,18,13932.1543
9,19,13974.503
9,20,15414.9307
10,1,16528.819
10,2,16632.8409
10,3,15396.9062
10,4,15112.3442
10,5,16937.6737
10,6,16436.8542
10,7,15821.4967
10,8,15396.9181
10,9,16530.3093
10,10,16761.5656
10,11,16456.9135
10,12,15369.1443
10,13,15453.2249
10,14,16793.0695
10,15,16734.3386
10,16,16580.9709
10,17,15345.9794
10,18,15315.4655
10,19,17565.7522
10,20,17120.7096
11,1,17499.4557
11,2,16723.2479
11,3,20710.4189
11,4,32563.7537
11,5,39019.3736
11,6,23441.4082
11,7,20963.8696
11,8,53061.8394
11,9,68316.3427
11,10,49314.1801
11,11,18939.2648
11,12,18552.0206
11,13,22439.6196
11,14,26242.107
11,15,19507.0131
11,16,16771.0555
11,17,17017.6065
11,18,18210.7318
11,19,18191.0348
11,20,17834.2661
12,1,17965.089
12,2,18441.1402
12,3,19317.2776
12,4,19316.3304
12,5,18379.1423
12,6,18066.5235
12,7,19414.0359
12,8,19344.3424
12,9,19116.1137
12,10,17903.9255
12,11,18091.2062
12,12,19250.8443
12,13,19383.6143
12,14,18178.0515
12,15,18146.2301
12,16,19869.5231
12,17,19739.7231
12,18,19104.0762
12,19,17983.2211
12,20,18191.9247
13,1,21108.3697
13,2,21313.4795
13,3,20020.4301
13,4,19615.152
13,5,21213.468
13,6,21275.2321
13,7,20969.4808
13,8,19430.0386
13,9,19763.921
13,10,23002.1075
13,11,27728.1654
13,12,24836.1766
13,13,21548.7604
13,14,21133.6813
13,15,65744.4053
13,16,104287.6935
13,17,107019.725
13,18,24636.8107
13,19,23510.9393
13,20,38454.0167
